TECHNICIAN_ID,TECHNICIAN_NAME,CURRENT_DEALER_ID,HIRE_DATE,SPECIALIZATION,CERTIFICATION_LEVEL,YEARS_EXPERIENCE,PERFORMANCE_RATING
TECH_001,Samuel Davis,DEALER_001,2020-02-21,Engine Diagnostics,Journeyman,9,5
TECH_002,Jerry Miller,DEALER_002,2020-06-27,Electrical Systems,Apprentice,3,5
TECH_003,Donald Anderson,DEALER_003,2022-10-31,Electrical Systems,Master,19,5
TECH_004,Raymond Rivera,DEALER_004,2022-05-09,Emissions Control,Apprentice,20,5
TECH_005,James Roberts,DEALER_005,2020-11-22,Engine Diagnostics,Apprentice,12,5
TECH_006,Donald Roberts,DEALER_006,2021-11-20,Diesel Systems,Master,14,5
TECH_007,George Flores,DEALER_007,2021-06-25,Brake Systems,Master,25,4
TECH_008,Joseph Sanchez,DEALER_008,2020-06-10,Electrical Systems,Journeyman,22,4
TECH_009,Timothy Nguyen,DEALER_009,2021-01-28,Engine Diagnostics,Master,3,4
TECH_010,Aaron Jackson,DEALER_010,2020-06-12,Brake Systems,Senior,5,4
TECH_011,Jacob Adams,DEALER_011,2022-01-17,Emissions Control,Journeyman,13,5
TECH_012,Andrew Rivera,DEALER_012,2020-05-26,Electrical Systems,Senior,19,3
TECH_013,Daniel Walker,DEALER_013,2022-02-16,General Repair,Senior,23,4
TECH_014,Aaron Gomez,DEALER_014,2020-04-24,Emissions Control,Master,12,4
TECH_015,David Wilson,DEALER_015,2021-10-06,Emissions Control,Apprentice,14,3
TECH_016,Raymond Walker,DEALER_016,2020-10-19,General Repair,Senior,9,3
TECH_017,Stephen Taylor,DEALER_017,2022-05-27,Electrical Systems,Apprentice,13,5
TECH_018,Thomas King,DEALER_018,2022-10-07,Diesel Systems,Master,5,5
TECH_019,Daniel Hall,DEALER_019,2022-05-14,Electrical Systems,Master,14,4
TECH_020,Jacob Wright,DEALER_020,2021-05-29,Electrical Systems,Master,23,3
TECH_021,Alexander Scott,DEALER_021,2021-06-30,Brake Systems,Journeyman,5,5
TECH_022,James Mitchell,DEALER_022,2021-06-23,Electrical Systems,Senior,18,3
TECH_023,Samuel Martin,DEALER_023,2022-11-05,Electrical Systems,Senior,6,4
TECH_024,Daniel Scott,DEALER_024,2022-12-22,Diesel Systems,Journeyman,17,5
TECH_025,Timothy Martin,DEALER_025,2021-05-05,Diesel Systems,Senior,20,2
TECH_026,William Mitchell,DEALER_026,2022-09-22,Brake Systems,Master,19,3
TECH_027,Thomas Baker,DEALER_027,2022-08-31,Electrical Systems,Senior,10,4
TECH_028,Brandon Lewis,DEALER_028,2021-03-09,Electrical Systems,Senior,24,4
TECH_029,Gregory Nelson,DEALER_029,2022-02-03,Transmission,Apprentice,5,5
TECH_030,David Thompson,DEALER_030,2020-02-13,Electrical Systems,Senior,20,5
TECH_031,David Campbell,DEALER_031,2020-04-30,Emissions Control,Master,3,3
TECH_032,David King,DEALER_032,2021-05-02,General Repair,Apprentice,8,4
TECH_033,Dennis Nguyen,DEALER_033,2022-08-26,Emissions Control,Apprentice,15,5
TECH_034,Richard Baker,DEALER_034,2022-06-01,General Repair,Apprentice,15,4
TECH_035,Dennis Brown,DEALER_035,2020-07-20,Diesel Systems,Apprentice,25,4
TECH_036,Richard Thomas,DEALER_036,2021-01-27,Emissions Control,Apprentice,6,4
